上櫃公布注意有價證券資訊 
期間:115/01/01~115/04/09，查詢範圍:全部上櫃有價證券
編號,證券代號,證券名稱,注意交易資訊,公告日期,收盤價,本益比
"41","68301","汎銓一","最近六個營業日(含當日)累積之最後成交價漲幅達23.73%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣93元(第一款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣93元(第十一款)","115/04/07","380.00","N/A"
"42","7547","碩網","最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達66.27%，當日之前一個營業日當日沖銷成交量占總成交量達65.46%（第十三款)","115/04/07","75.50","28.49"
"43","7734","印能科技","最近六個營業日(含當日)累積之最後成交價漲幅達25.45%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣480元(第一款)","115/04/07","2325.00","69.40"
"44","7751","竑騰","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣218元(第十一款)","115/04/07","1830.00","89.27"
"45","8027","鈦昇","當日本益比為N/A、股價淨值比為6.02且為其所屬產業類別股價淨值比之3.1倍、當日週轉率達11.51%(第六款)","115/04/07","151.50","N/A"
"46","8936","國統","最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達16.1%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為7倍(第十二款)","115/04/07","50.20","12.30"
"47","31351","凌航一","最近六個營業日(含當日)累積之最後成交價跌幅達29.44%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣66元(第一款)","115/04/02","207.00","N/A"
"48","3163","波若威","當日本益比為153.05、股價淨值比為24.95且為其所屬產業類別股價淨值比之3.99倍、當日週轉率達7.56%、凱基證券公司當日買進該有價證券之成交金額達14.79億元，且占當日該有價證券之總成交金額25.65%、單一投資人當日買進該有價證券之成交金額達9.12億元，且占當日該有價證券之總成交金額15.81%(第六款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣143元(第十一款)","115/04/02","952.00","153.05"
"49","31672","大量二","最近六個營業日(含當日)累積之最後成交價漲幅達25.01%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣49元(第一款)","115/04/02","257.00","N/A"
"50","3664","安瑞-KY","最近六個營業日(含當日)累積之最後成交價跌幅達31.88%(第一款)當日之成交量較最近六十個營業日日平均成交量放大10.32倍(第三款)","115/04/02","8.80","N/A"
"51","4741","泓瀚","最近六個營業日(含當日)累積之最後成交價漲幅達41.34%(第一款)","115/04/02","40.70","140.34"
"52","5016","松和","最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為9.22倍，當日成交量較最近六十個營業日之日平均成交量放大為13.94倍(第九款)","115/04/02","31.35","20.90"
"53","5291","邑昇","最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達66%，當日之前一個營業日當日沖銷成交量占總成交量達60.5%（第十三款)","115/04/02","71.90","231.94"
"54","5475","德宏","當日本益比為N/A、股價淨值比為35.11且為其所屬產業類別股價淨值比之10.83倍、當日週轉率達6.71%、元大證券公司當日賣出該有價證券之成交金額達5.39億元，且占當日該有價證券之總成交金額26.07%、單一投資人當日買進該有價證券之成交金額達3.27億元，且占當日該有價證券之總成交金額15.82%、單一投資人當日賣出該有價證券之成交金額達2.11億元，且占當日該有價證券之總成交金額10.23%(第六款)","115/04/02","246.50","N/A"
"55","6588","東典光電","當日本益比為N/A、股價淨值比為5.94且為其所屬產業類別股價淨值比之.95倍、當日週轉率達26.38%、元大證券公司當日賣出該有價證券之成交金額達3.59億元，且占當日該有價證券之總成交金額29.37%(第六款)","115/04/02","131.00","N/A"
