上櫃公布注意有價證券資訊 
期間:115/01/01~115/04/09，查詢範圍:全部上櫃有價證券
編號,證券代號,證券名稱,注意交易資訊,公告日期,收盤價,本益比
"700","4991","環宇-KY","最近六個營業日(含當日)累積之最後成交價漲幅達29.96%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣83元(第一款)","115/02/26","345.00","N/A"
"701","5291","邑昇","最近六個營業日(含當日)累積之最後成交價漲幅達34.6%(第一款)當日週轉率達5.46%(第四款)","115/02/26","53.40","178.00"
"702","5386","青雲","最近六個營業日(含當日)累積之最後成交價漲幅達48.56%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達153.85%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達210.14%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達213.78%(第二款)","115/02/26","214.00","46.62"
"703","5475","德宏","最近六個營業日(含當日)累積之最後成交價漲幅達42.95%(第一款)","115/02/26","212.50","N/A"
"704","5536","聖暉*","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣105元(第十一款)","115/02/26","723.00","27.44"
"705","6187","萬潤","最近六個營業日(含當日)累積之最後成交價漲幅達35.58%(第一款)當日週轉率達7.26%(第四款)","115/02/26","547.00","35.38"
"706","61875","萬潤五","最近六個營業日(含當日)累積之最後成交價漲幅達32.32%(第一款)","115/02/26","195.00","N/A"
"707","6217","中探針","最近六個營業日(含當日)累積之最後成交價漲幅達42.84%(第一款)元大證券公司當日受託買進該有價證券之成交量占當日該有價證券總成交量之比率為49.58%(第五款)","115/02/26","93.70","N/A"
"708","6244","茂迪","最近六個營業日(含當日)累積之最後成交價漲幅達28.33%，當日週轉率達16.55%(第四款)","115/02/26","33.00","89.19"
"709","6588","東典光電","最近六個營業日(含當日)累積之最後成交價漲幅達42.24%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達130.53%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達311.55%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達299.29%(第二款)統一證券公司當日受託買進該有價證券之成交量占當日該有價證券總成交量之比率為46.72%(第五款)","115/02/26","114.00","N/A"
"710","6716","應廣","最近六個營業日(含當日)累積之最後成交價漲幅達48%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達106.22%(第二款)","115/02/26","96.00","60.76"
"711","6739","竹陞科技","最近六個營業日(含當日)累積之最後成交價漲幅達26.33%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣251元(第一款)","115/02/26","1095.00","92.64"
"712","6907","雅特力-KY","最近六個營業日(含當日)累積之最後成交價漲幅達59.34%(第一款)","115/02/26","85.60","41.15"
"713","7717","萊德光電-KY","最近六個營業日(含當日)累積之最後成交價漲幅達32.97%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達113.65%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達288.29%(第二款)","115/02/26","829.00","375.11"
"714","7744","崴寶","最近六個營業日(含當日)累積之最後成交價漲幅達28.76%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣131.5元(第一款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣131.5元(第十一款)","115/02/26","511.00","31.98"
"715","7751","竑騰","最近六個營業日(含當日)累積之最後成交價漲幅達38.55%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達184.54%(第二款)","115/02/26","1215.00","76.80"
"716","8183","精星","最近六個營業日(含當日)累積之最後成交價漲幅達28.62%，當日之成交量較最近六十個營業日日平均成交量放大17.13倍(第三款)當日週轉率達7.07%(第四款)","115/02/26","40.65","16.66"
"717","8289","泰藝","最近六個營業日(含當日)累積之最後成交價漲幅達30.69%(第一款)當日之成交量較最近六十個營業日日平均成交量放大6.62倍(第三款)當日週轉率達7.1%(第四款)","115/02/26","35.25","N/A"
"718","8291","尚茂","最近六個營業日(含當日)累積之最後成交價跌幅達51.39%(第一款)","115/02/26","14.60","N/A"
"719","8358","金居","當日本益比為83.09、股價淨值比為10.26且為其所屬產業類別股價淨值比之2.79倍、當日週轉率達8.46%(第六款)","115/02/26","290.00","83.09"
"720","2230","泰茂","最近六個營業日(含當日)累積之最後成交價跌幅達54.68%(第一款)當日之成交量較最近六十個營業日日平均成交量放大7.36倍(第三款)統一證券公司當日受託賣出該有價證券之成交量占當日該有價證券總成交量之比率為48.64%(第五款)","115/02/25","43.00","68.25"
"721","23372","旺宏二","最近六個營業日(含當日)累積之最後成交價漲幅達30.08%(第一款)","115/02/25","465.00","N/A"
"722","30371","欣興一","最近六個營業日(含當日)累積之最後成交價漲幅達31.51%(第一款)","115/02/25","279.00","N/A"
"723","3105","穩懋","最近六個營業日(含當日)累積之最後成交價漲幅達40.22%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達190.09%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達225.25%(第二款)當日週轉率達9.49%(第四款)","115/02/25","322.00","435.14"
"724","3163","波若威","最近六個營業日(含當日)累積之最後成交價漲幅達48.98%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達104.71%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達254.64%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達250.67%(第二款)","115/02/25","782.00","125.72"
"725","3206","志豐","最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為6.26倍，當日成交量較最近六十個營業日之日平均成交量放大為20.35倍(第九款)","115/02/25","38.30","18.59"
"726","3234","光環","最近六個營業日(含當日)累積之最後成交價漲幅達38.41%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達106.16%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達173.68%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達173.68%(第二款)當日週轉率達7.56%(第四款)當日本益比為N/A、股價淨值比為13.16且為其所屬產業類別股價淨值比之2.15倍(第六款)","115/02/25","93.60","N/A"
"727","3363","上詮","最近六個營業日(含當日)累積之最後成交價漲幅達34.23%(第一款)當日週轉率達8.12%(第四款)當日本益比為8,500.00、股價淨值比為24.07且為其所屬產業類別股價淨值比之3.94倍(第六款)","115/02/25","595.00","8500.00"
"728","3529","力旺","最近六個營業日(含當日)累積之最後成交價漲幅達31%(第一款)","115/02/25","2485.00","99.60"
"729","4534","慶騰","最近六個營業日(含當日)累積之最後成交價漲幅達31.3%(第一款)元大證券公司當日受託賣出該有價證券之成交量占當日該有價證券總成交量之比率為42.99%(第五款)","115/02/25","28.85","N/A"
"730","4542","科嶠","當日本益比為224.29、股價淨值比為7.87且為其所屬產業類別股價淨值比之2.15倍、當日週轉率達8.46%(第六款)","115/02/25","157.00","224.29"
"731","4577","達航科技","最近六個營業日(含當日)累積之最後成交價漲幅達31.95%(第一款)","115/02/25","78.70","N/A"
"732","4768","晶呈科技","當日本益比為1,031.71、股價淨值比為13.65且為其所屬產業類別股價淨值比之4.51倍、當日週轉率達7.15%(第六款)","115/02/25","423.00","1031.71"
"733","4979","華星光","當日本益比為84.20、股價淨值比為15.48且為其所屬產業類別股價淨值比之2.53倍、當日週轉率達19.49%(第六款)最近六個營業日(含當日)之累積週轉率為117.66%(第十款)","115/02/25","405.00","84.20"
"734","5291","邑昇","最近六個營業日(含當日)累積之最後成交價漲幅達31.67%(第一款)當日週轉率達17.68%(第四款)","115/02/25","48.60","162.00"
"735","5386","青雲","最近六個營業日(含當日)累積之最後成交價漲幅達57.17%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達148.53%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達211.02%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達227.39%(第二款)前一個營業日券資比達36.74%，且前一個營業日之券資比較最近六個營業日之最低券資比放大四倍以上(第七款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣77元(第十一款)","115/02/25","211.50","46.08"
"736","5475","德宏","最近六個營業日(含當日)累積之最後成交價漲幅達47.86%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達140.8%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達272.41%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達247.26%(第二款)當日週轉率達7%(第四款)當日本益比為N/A、股價淨值比為32.98且為其所屬產業類別股價淨值比之9.01倍(第六款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣75元(第十一款)","115/02/25","216.00","N/A"
"737","6187","萬潤","最近六個營業日(含當日)累積之最後成交價漲幅達31.17%(第一款)當日週轉率達9.49%(第四款)","115/02/25","498.00","32.21"
"738","6217","中探針","最近六個營業日(含當日)累積之最後成交價漲幅達42.76%(第一款)","115/02/25","85.20","N/A"
"739","6530","創威","最近六個營業日(含當日)之累積週轉率為87.59%，當日週轉率達17.52%(第十款)","115/02/25","73.00","38.83"
"740","6588","東典光電","最近六個營業日(含當日)累積之最後成交價漲幅達42.05%(第一款)","115/02/25","104.00","N/A"
"741","6716","應廣","最近六個營業日(含當日)累積之最後成交價漲幅達48.72%(第一款)當日之成交量較最近六十個營業日日平均成交量放大9.95倍(第三款)當日週轉率達11.16%(第四款)","115/02/25","92.20","58.35"
"742","6907","雅特力-KY","最近六個營業日(含當日)累積之最後成交價漲幅達59.41%(第一款)元大證券公司當日受託賣出該有價證券之成交量占當日該有價證券總成交量之比率為35.76%(第五款)","115/02/25","77.90","37.45"
"743","7717","萊德光電-KY","最近六個營業日(含當日)累積之最後成交價漲幅達27.67%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣164元(第一款)當日週轉率達5.59%(第四款)","115/02/25","770.00","348.42"
"744","7734","印能科技","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣170元(第十一款)","115/02/25","1660.00","45.95"
"745","7744","崴寶","最近六個營業日(含當日)累積之最後成交價漲幅達27.55%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣82.5元(第一款)","115/02/25","471.50","29.51"
"746","7751","竑騰","最近六個營業日(含當日)累積之最後成交價漲幅達33.84%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達161.22%(第二款)","115/02/25","1105.00","69.85"
"747","7805","威聯通","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣109元(第十一款)","115/02/25","671.00","16.34"
"748","8291","尚茂","最近六個營業日(含當日)累積之最後成交價跌幅達44.98%(第一款)","115/02/25","15.60","N/A"
"749","8358","金居","當日本益比為83.67、股價淨值比為10.33且為其所屬產業類別股價淨值比之2.82倍、當日週轉率達17.61%(第六款)","115/02/25","292.00","83.67"
"750","1815","富喬","當日本益比為106.94、股價淨值比為7.5且為其所屬產業類別股價淨值比之2.07倍、當日週轉率達22.87%(第六款)最近六個營業日(含當日)之累積週轉率為81.28%(第十款)","115/02/24","115.50","106.94"
"751","2230","泰茂","最近六個營業日(含當日)累積之最後成交價跌幅達59.51%(第一款)當日之成交量較最近六十個營業日日平均成交量放大14.18倍(第三款)當日週轉率達6.81%(第四款)","115/02/24","45.30","71.90"
"752","23372","旺宏二","最近六個營業日(含當日)累積之最後成交價漲幅達30.67%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達137.32%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達204.29%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達317.5%(第二款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣146元(第十一款)","115/02/24","496.00","N/A"
"753","3105","穩懋","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣78元(第十一款)","115/02/24","297.50","402.03"
"754","3163","波若威","最近六個營業日(含當日)累積之最後成交價漲幅達42.6%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達198.11%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達224.65%(第二款)花旗環球證券公司當日受託買進該有價證券之成交量占當日該有價證券總成交量之比率為24.91%(第五款)","115/02/24","711.00","114.31"
"755","31672","大量二","最近六個營業日(含當日)累積之最後成交價漲幅達31.23%(第一款)","115/02/24","173.00","N/A"
"756","3234","光環","最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達141.38%(第二款)","115/02/24","86.90","N/A"
"757","3363","上詮","最近六個營業日(含當日)累積之最後成交價漲幅達24.76%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣123元(第一款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣123元(第十一款)","115/02/24","551.00","7871.43"
"758","3491","昇達科","最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達102.34%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達236.22%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達243.68%(第二款)","115/02/24","1550.00","224.96"
"759","3529","力旺","最近六個營業日(含當日)累積之最後成交價漲幅達29.87%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣535元(第一款)當日週轉率達5.45%(第四款)當日本益比為95.59、股價淨值比為54.34且為其所屬產業類別股價淨值比之13.72倍、單一投資人當日買進該有價證券之成交金額達11.04億元，且占當日該有價證券之總成交金額11.57%(第六款)","115/02/24","2385.00","95.59"
"760","4979","華星光","當日本益比為81.70、股價淨值比為15.02且為其所屬產業類別股價淨值比之2.5倍、當日週轉率達11.68%、單一投資人當日買進該有價證券之成交金額達6.46億元，且占當日該有價證券之總成交金額10.3%(第六款)","115/02/24","393.00","81.70"
"761","5289","宜鼎","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣104元(第十一款)","115/02/24","815.00","54.08"
"762","5386","青雲","最近六個營業日(含當日)累積之最後成交價漲幅達57.16%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達114.36%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達170.74%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達196.15%(第二款)前一個營業日券資比達28.71%，且前一個營業日之券資比較最近六個營業日之最低券資比放大四倍以上(第七款)","115/02/24","192.50","41.94"
"763","5475","德宏","最近六個營業日(含當日)累積之最後成交價漲幅達41.34%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達121.28%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達209.93%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達202.77%(第二款)","115/02/24","196.50","N/A"
"764","6187","萬潤","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣98.5元(第十一款)","115/02/24","467.50","30.24"
"765","6217","中探針","最近六個營業日(含當日)累積之最後成交價漲幅達28.12%，當日週轉率達8.78%(第四款)","115/02/24","77.50","N/A"
"766","6291","沛亨","最近六個營業日(含當日)累積之最後成交價漲幅達25.1%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣77元(第一款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣77元(第十一款)","115/02/24","290.00","60.67"
"767","6588","東典光電","最近六個營業日(含當日)累積之最後成交價漲幅達47.37%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達116.08%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達312.96%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達284.48%(第二款)當日週轉率達5.32%(第四款)","115/02/24","111.50","N/A"
"768","6716","應廣","最近六個營業日(含當日)累積之最後成交價漲幅達39.45%(第一款)當日之成交量較最近六十個營業日日平均成交量放大7.18倍(第三款)當日週轉率達6.73%(第四款)","115/02/24","88.50","56.01"
"769","6739","竹陞科技","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣124元(第十一款)","115/02/24","981.00","82.99"
"770","6907","雅特力-KY","最近六個營業日(含當日)累積之最後成交價漲幅達46.26%(第一款)","115/02/24","70.90","34.09"
"771","724668","昇達科統一59購01","最近六個營業日(含當日)累積之最後成交價漲幅達40.51%(第一款)","115/02/24","7.10","N/A"
"772","739383","威剛統一64購01","最近六個營業日(含當日)累積之最後成交價漲幅達32.74%(第一款)","115/02/24","3.83","N/A"
"773","7402","邑錡","當日本益比為397.22、股價淨值比為7.78且為其所屬產業類別股價淨值比之3.22倍、當日週轉率達10.4%(第六款)","115/02/24","143.00","397.22"
"774","7717","萊德光電-KY","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣169元(第十一款)","115/02/24","761.00","344.34"
"775","7744","崴寶","最近六個營業日(含當日)累積之最後成交價漲幅達27.65%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣66元(第一款)","115/02/24","429.00","26.85"
"776","8358","金居","當日本益比為86.10、股價淨值比為10.63且為其所屬產業類別股價淨值比之2.93倍、當日週轉率達20.98%(第六款)","115/02/24","300.50","86.10"
"777","1815","富喬","當日本益比為98.15、股價淨值比為6.89且為其所屬產業類別股價淨值比之1.99倍、當日週轉率達16.9%、單一投資人當日買進該有價證券之成交金額達11.26億元，且占當日該有價證券之總成交金額11.02%、單一投資人當日賣出該有價證券之成交金額達10.34億元，且占當日該有價證券之總成交金額10.13%(第六款)","115/02/23","106.00","98.15"
"778","2230","泰茂","最近六個營業日(含當日)累積之最後成交價跌幅達52.21%(第一款)","115/02/23","50.30","79.84"
"779","3081","聯亞","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣165元(第十一款)","115/02/23","1190.00","255.36"
"780","3163","波若威","最近六個營業日(含當日)累積之最後成交價漲幅達29.04%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣175元(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達182.53%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達192.76%(第二款)","115/02/23","647.00","125.88"
"781","3230","錦明","最近六個營業日(含當日)累積之最後成交價漲幅達31.59%(第一款)","115/02/23","42.10","N/A"
"782","3234","光環","最近六個營業日(含當日)累積之最後成交價漲幅達27.75%，當日週轉率達5.57%(第四款)","115/02/23","79.00","N/A"
"783","3491","昇達科","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣210元(第十一款)","115/02/23","1490.00","216.26"
"784","3529","力旺","最近六個營業日(含當日)累積之最後成交價漲幅達25.13%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣385元(第一款)","115/02/23","2180.00","87.37"
"785","4966","譜瑞-KY","最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達15.7%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為4倍(第十二款)","115/02/23","514.00","14.33"
"786","4979","華星光","當日本益比為74.32、股價淨值比為13.66且為其所屬產業類別股價淨值比之2.38倍、當日週轉率達17.98%(第六款)","115/02/23","357.50","74.32"
"787","5274","信驊","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣625元(第十一款)","115/02/23","9755.00","100.40"
"788","5386","青雲","最近六個營業日(含當日)累積之最後成交價漲幅達44.12%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達147.52%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達177.77%(第二款)","115/02/23","175.00","38.13"
"789","5475","德宏","最近六個營業日(含當日)累積之最後成交價漲幅達29.35%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣47元(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達204.42%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達171.62%(第二款)","115/02/23","179.00","N/A"
"790","6122","擎邦","最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達9.64%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為13倍(第十二款)","115/02/23","52.40","11.96"
"791","6173","信昌電","最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達13.2%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為9倍(第十二款)","115/02/23","67.20","24.71"
"792","6584","南俊國際","最近六個營業日(含當日)累積之最後成交價漲幅達26.05%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣85.5元(第一款)","115/02/23","435.00","113.87"
"793","65841","南俊國際一","最近六個營業日(含當日)累積之最後成交價漲幅達25.6%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣47元(第一款)","115/02/23","241.00","N/A"
"794","65842","南俊國際二","最近六個營業日(含當日)累積之最後成交價漲幅達24.58%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣41元(第一款)","115/02/23","223.00","N/A"
"795","6588","東典光電","最近六個營業日(含當日)累積之最後成交價漲幅達35.32%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達273.84%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達250%(第二款)","115/02/23","101.50","N/A"
"796","6683","雍智科技","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣128元(第十一款)","115/02/23","828.00","54.08"
"797","6716","應廣","最近六個營業日(含當日)累積之最後成交價漲幅達35.24%(第一款)當日之成交量較最近六十個營業日日平均成交量放大7.87倍(第三款)當日週轉率達6.52%(第四款)","115/02/23","80.50","50.95"
"798","6907","雅特力-KY","最近六個營業日(含當日)累積之最後成交價漲幅達32.86%(第一款)元大證券公司當日受託賣出該有價證券之成交量占當日該有價證券總成交量之比率為60.96%(第五款)","115/02/23","64.50","31.01"
"799","7744","崴寶","最近六個營業日(含當日)累積之最後成交價漲幅達24.4%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣74.5元(第一款)","115/02/23","404.50","25.31"
"800","8086","宏捷科","最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達9.54%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為4倍(第十二款)","115/02/23","114.50","54.01"
"801","2230","泰茂","最近六個營業日(含當日)累積之最後成交價跌幅達42.58%(第一款)","115/02/11","55.80","88.57"
"802","3163","波若威","最近六個營業日(含當日)累積之最後成交價漲幅達26.3%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣99元(第一款)","115/02/11","589.00","114.59"
"803","3230","錦明","最近六個營業日(含當日)累積之最後成交價漲幅達34.45%(第一款)當日之成交量較最近六十個營業日日平均成交量放大6.34倍(第三款)當日週轉率達6.85%(第四款)","115/02/11","42.05","N/A"
"804","3234","光環","最近六個營業日(含當日)累積之最後成交價漲幅達34.33%(第一款)當日週轉率達5.46%(第四款)","115/02/11","76.40","N/A"
"805","4979","華星光","最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達69.16%，當日之前一個營業日當日沖銷成交量占總成交量達71.5%（第十三款)","115/02/11","325.00","67.57"
"806","5340","建榮","當日本益比為93.27、股價淨值比為8.79且為其所屬產業類別股價淨值比之2.64倍、當日週轉率達12.7%(第六款)","115/02/11","99.80","93.27"
"807","5386","青雲","最近六個營業日(含當日)累積之最後成交價漲幅達35.28%(第一款)當日週轉率達5.43%(第四款)前一個營業日券資比達26.31%，且前一個營業日之券資比較最近六個營業日之最低券資比放大四倍以上(第七款)最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達64.55%，當日之前一個營業日當日沖銷成交量占總成交量達75.95%（第十三款)","115/02/11","159.50","34.75"
"808","5475","德宏","最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達160.8%(第二款)","115/02/11","163.00","N/A"
"809","6584","南俊國際","最近六個營業日(含當日)累積之最後成交價漲幅達38.16%(第一款)","115/02/11","445.00","116.49"
"810","65841","南俊國際一","最近六個營業日(含當日)累積之最後成交價漲幅達37.17%(第一款)","115/02/11","245.00","N/A"
"811","65842","南俊國際二","最近六個營業日(含當日)累積之最後成交價漲幅達28.19%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣54元(第一款)","115/02/11","230.00","N/A"
"812","6588","東典光電","最近六個營業日(含當日)累積之最後成交價漲幅達35.71%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達234.29%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達215.5%(第二款)當日週轉率達5.59%(第四款)","115/02/11","92.60","N/A"
"813","7751","竑騰","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣130元(第十一款)","115/02/11","958.00","60.56"
"814","1815","富喬","最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達60.34%，當日之前一個營業日當日沖銷成交量占總成交量達68.78%（第十三款)","115/02/10","87.90","81.39"
"815","2230","泰茂","最近六個營業日(含當日)累積之最後成交價跌幅達34.81%(第一款)","115/02/10","62.00","98.41"
"816","3163","波若威","最近六個營業日(含當日)累積之最後成交價漲幅達28.81%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣109.5元(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達141.27%(第二款)","115/02/10","567.00","110.31"
"817","3230","錦明","最近六個營業日(含當日)累積之最後成交價漲幅達34.81%(第一款)當日之成交量較最近六十個營業日日平均成交量放大8.56倍(第三款)當日週轉率達8.33%(第四款)","115/02/10","38.35","N/A"
"818","3234","光環","最近六個營業日(含當日)累積之最後成交價漲幅達33.81%(第一款)當日週轉率達8.73%(第四款)","115/02/10","76.00","N/A"
"819","3363","上詮","當日本益比為6,485.71、股價淨值比為18.37且為其所屬產業類別股價淨值比之3.45倍、當日週轉率達5.22%(第六款)","115/02/10","454.00","6485.71"
"820","3491","昇達科","最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達187.12%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達189.03%(第二款)","115/02/10","1305.00","189.40"
"821","4542","科嶠","最近六個營業日(含當日)累積之最後成交價漲幅達36.14%(第一款)當日週轉率達7.31%(第四款)當日本益比為202.86、股價淨值比為7.12且為其所屬產業類別股價淨值比之2.2倍(第六款)","115/02/10","142.00","202.86"
"822","45421","科嶠一","最近六個營業日(含當日)累積之最後成交價漲幅達33.55%(第一款)","115/02/10","161.00","N/A"
"823","4979","華星光","最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達68.76%，當日之前一個營業日當日沖銷成交量占總成交量達68.59%（第十三款)","115/02/10","333.50","69.33"
"824","5340","建榮","當日本益比為88.97、股價淨值比為8.39且為其所屬產業類別股價淨值比之2.59倍、當日週轉率達6.65%(第六款)","115/02/10","95.20","88.97"
"825","5386","青雲","最近六個營業日(含當日)累積之最後成交價漲幅達34.89%(第一款)當日之成交量較最近六十個營業日日平均成交量放大6.07倍(第三款)當日週轉率達41.3%(第四款)","115/02/10","145.00","31.59"
"826","6584","南俊國際","最近六個營業日(含當日)累積之最後成交價漲幅達35.32%(第一款)當日週轉率達8.54%(第四款)當日本益比為106.68、股價淨值比為11.07且為其所屬產業類別股價淨值比之3.42倍(第六款)","115/02/10","407.50","106.68"
"827","65841","南俊國際一","最近六個營業日(含當日)累積之最後成交價漲幅達33.2%(第一款)","115/02/10","229.00","N/A"
