"115年04月08日 截至10:00止 热门股券商进出排行(等价整股由大而小排列)"
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"9","華南永昌","202","200"
"10","摩根大通","54","325"
"17","泰谷(3339)"
"1","元大","1600","1355"
"2","凱基","575","845"
"3","群益","329","544"
"4","富邦","494","373"
"5","台新","499","313"
"6","國泰綜合","427","341"
"7","永豐金","222","457"
"8","華南永昌","260","316"
"9","統一","204","346"
"10","新光","207","236"
"18","欣銓(3264)"
"1","元大","1423","761"
"2","凱基","900","709"
"3","星洲瑞銀","24","1097"
"4","富邦","547","417"
"5","玉山證券","191","470"
"6","台新","328","303"
"7","永豐金","306","264"
"8","群益","228","291"
"9","統一","144","304"
"10","美商高盛亞","244","146"
"19","順達(3211)"
"1","元大","1026","1159"
"2","凱基","654","828"
"3","永豐金","514","297"
"4","富邦","357","399"
"5","台新","289","437"
"6","國泰綜合","306","269"
"7","美商高盛亞","254","305"
"8","摩根士丹利","342","146"
"9","群益","263","202"
"10","華南永昌","240","199"
"20","東捷(8064)"
"1","元大","964","1198"
"2","凱基","605","863"
"3","富邦","437","361"
"4","台新","358","315"
"5","永豐金","285","279"
"6","星洲瑞銀","443","75"
"7","國泰綜合","226","292"
"8","群益","277","157"
"9","摩根大通","327","23"
"10","摩根士丹利","172","163"
"21","台半(5425)"
"1","元大","1254","1014"
"2","凱基","266","815"
"3","群益","270","438"
"4","台新","286","280"
"5","富邦","350","214"
"6","星洲瑞銀","349","214"
"7","美商高盛亞","136","362"
"8","國泰綜合","273","124"
"9","永豐金","200","189"
"10","摩根士丹利","70","244"
"22","鈺創(5351)"
"1","元大","686","940"
"2","統一","958","95"
"3","富邦","334","538"
"4","台新","533","225"
"5","凱基","330","343"
"6","摩根大通","519","15"
"7","永豐金","172","306"
"8","華南永昌","257","211"
"9","國泰綜合","21","372"
"10","美商高盛亞","319","44"
"23","德宏(5475)"
"1","富邦","380","947"
"2","元大","512","574"
"3","凱基","350","512"
"4","摩根大通","276","280"
"5","國泰綜合","367","146"
"6","台新","341","131"
"7","美商高盛亞","416","51"
"8","群益","335","125"
"9","永豐金","237","199"
"10","美林證券","85","249"
"24","台星科(3265)"
"1","元大","619","998"
"2","凱基","380","523"
"3","富邦","192","366"
"4","摩根士丹利","529","14"
"5","美林證券","457","0"
"6","永豐金","204","242"
"7","台新","117","250"
"8","兆豐","172","179"
"9","美商高盛亞","293","46"
"10","星洲瑞銀","299","9"
"25","雙鴻(3324)"
"1","國泰綜合","1094","315"
"2","元大","418","908"
"3","凱基","580","411"
"4","富邦","228","314"
"5","永豐金","235","234"
"6","群益","137","200"
"7","台新","126","194"
"8","華南永昌","123","186"
"9","星洲瑞銀","187","88"
"10","摩根士丹利","159","113"
"26","港建*(3093)"
"1","凱基","1249","1225"
"2","元大","594","588"
"3","永豐金","187","762"
"4","富邦","317","343"
"5","統一","77","269"
"6","群益","210","130"
"7","國泰綜合","213","124"
"8","新光","309","24"
"9","華南永昌","191","127"
"10","台新","202","86"
"27","廣穎(4973)"
"1","元大","931","665"
"2","凱基","275","329"
"3","富邦","289","247"
"4","群益","165","255"
"5","台新","190","190"
"6","星洲瑞銀","170","168"
"7","美商高盛亞","14","318"
"8","統一","89","216"
"9","永豐金","165","119"
"10","國泰綜合","137","115"
"28","中美晶(5483)"
"1","元大","642","429"
"2","台新","320","341"
"3","凱基","218","347"
"4","摩根士丹利","399","3"
"5","永豐金","241","120"
"6","統一","74","220"
"7","富邦","91","200"
"8","群益","89","193"
"9","摩根大通","211","64"
"10","美商高盛亞","238","35"
"29","群聯(8299)"
"1","元大","849","487"
"2","凱基","389","293"
"3","國票","371","217"
"4","美商高盛亞","59","438"
"5","富邦","169","262"
"6","群益","136","238"
"7","台新","122","151"
"8","統一","123","133"
"9","國泰綜合","95","121"
"10","永豐金","78","119"
"30","華電網(6163)"
"1","元大","729","641"
"2","永豐金","223","570"
"3","凱基","184","498"
"4","富邦","353","121"
"5","群益","134","222"
"6","台新","258","43"
"7","兆豐","131","122"
"8","美商高盛亞","66","152"
"9","國泰綜合","124","81"
"10","玉山證券","109","59"
