"115年04月08日 截至13:46止 热门股券商进出排行(等价整股由大而小排列)"
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","元大","894","1501"
"2","凱基","961","765"
"3","台新","620","399"
"4","富邦","280","708"
"5","永豐金","295","465"
"6","摩根士丹利","648","22"
"7","兆豐","196","428"
"8","華南永昌","146","433"
"9","美商高盛亞","436","71"
"10","美林證券","484","16"
