主鍵,交易日期,時間,股票代號,股票名稱,股票排名,累計買進張數,累計賣出張數,累計買賣超,時段買進張數,時段賣出張數,時段買賣超,時段買超,時段買超差,時段賣超,時段賣超差,時段買超家數,時段賣超家數,買超率,賣超率
2026/1/23-12-6265,2026/1/23,12,6265,方土昶,14,11262,11738,-476,1807,2134,-327,110,-384,437,21,3,7,0.05,0.24
2026/1/23-12-6190,2026/1/23,12,6190,萬泰科,15,11253,10579,674,11253,10579,674,1056,,382,,7,3,0.10,0.03
2026/1/23-12-3105,2026/1/23,12,3105,穩懋,16,10730,11471,-741,970,951,19,281,10,262,-107,5,5,0.30,0.27
2026/1/23-12-3323,2026/1/23,12,3323,加百裕,17,11348,10948,400,909,757,152,249,129,97,-103,4,6,0.33,0.11
2026/1/23-12-4510,2026/1/23,12,4510,高鋒,18,10237,10408,-171,772,724,48,141,-42,93,-42,5,4,0.19,0.12
2026/1/23-12-3162,2026/1/23,12,3162,精確,19,9906,9793,113,179,130,49,132,-364,83,-369,5,5,1.02,0.46
2026/1/23-12-3264,2026/1/23,12,3264,欣銓,20,9170,9671,-501,1375,1541,-166,299,-110,465,-262,4,6,0.19,0.34
2026/1/23-12-3211,2026/1/23,12,3211,順達,21,9483,8848,635,1255,1200,55,381,146,326,61,5,5,0.32,0.26
2026/1/23-12-5498,2026/1/23,12,5498,凱崴,22,8666,8960,-294,948,1279,-331,186,-54,517,193,3,7,0.15,0.55
2026/1/23-12-3234,2026/1/23,12,3234,光環,23,8013,10437,-2424,1769,1860,-91,910,481,1001,244,7,3,0.49,0.57
2026/1/23-12-1785,2026/1/23,12,1785,光洋科,24,6596,7623,-1027,824,1119,-295,79,-176,374,-219,3,7,0.07,0.45
2026/1/23-12-3624,2026/1/23,12,3624,光頡,25,7952,9109,-1157,525,580,-55,191,-579,246,-515,6,4,0.33,0.47
2026/1/23-12-3630,2026/1/23,12,3630,新鉅科,26,8745,8316,429,131,97,34,65,-301,31,-152,4,5,0.67,0.24
2026/1/23-12-6217,2026/1/23,12,6217,中探針,27,7842,7877,-35,901,837,64,254,-74,190,-10,3,7,0.30,0.21
2026/1/23-12-3707,2026/1/23,12,3707,漢磊,28,6600,7165,-565,530,491,39,151,-254,112,-302,5,5,0.31,0.21
2026/1/23-12-6274,2026/1/23,12,6274,台燿,29,6320,6964,-644,575,629,-54,213,-3,267,-37,4,6,0.34,0.46
2026/1/23-12-4979,2026/1/23,12,4979,華星光,30,6863,6545,318,801,745,56,157,-581,101,-375,5,5,0.21,0.13
2026/1/23-13-1815,2026/1/23,13,1815,富喬,1,49378,53827,-4449,13176,12945,231,3021,1738,2790,-317,4,6,0.23,0.21
2026/1/23-13-5371,2026/1/23,13,5371,中光電,2,33583,32522,1061,6449,5956,493,2141,1336,1648,1077,5,5,0.36,0.26
2026/1/23-13-8358,2026/1/23,13,8358,金居,3,27674,29973,-2299,6168,6498,-330,713,300,1043,348,3,7,0.11,0.17
2026/1/23-13-4939,2026/1/23,13,4939,亞電,4,26200,26431,-231,3794,3976,-182,2200,1217,2382,1513,7,3,0.55,0.63
2026/1/23-13-5347,2026/1/23,13,5347,世界,5,23047,25583,-2536,5832,6552,-720,2121,-306,2841,96,4,6,0.32,0.49
2026/1/23-13-3260,2026/1/23,13,3260,威剛,6,22805,23395,-590,2499,2756,-257,399,-1092,656,-347,4,6,0.14,0.26
2026/1/23-13-4533,2026/1/23,13,4533,協易機,7,22816,23924,-1108,5898,4889,1009,1711,1227,702,105,7,3,0.35,0.12
2026/1/23-13-6548,2026/1/23,13,6548,長科*,8,20880,20177,703,4934,3820,1114,1695,1183,581,170,7,3,0.44,0.12
2026/1/23-13-5309,2026/1/23,13,5309,系統電,9,22490,21825,665,5172,4273,899,1687,1256,788,383,6,3,0.39,0.15
2026/1/23-13-6182,2026/1/23,13,6182,合晶,10,18720,18298,422,5462,4725,737,2021,1716,1284,1222,6,4,0.43,0.24
2026/1/23-13-5351,2026/1/23,13,5351,鈺創,11,18241,17181,1060,2947,2319,628,1266,947,638,-176,5,5,0.55,0.22
2026/1/23-13-5425,2026/1/23,13,5425,台半,12,15504,17042,-1538,3553,3803,-250,982,253,1232,323,5,5,0.26,0.35
2026/1/23-13-3105,2026/1/23,13,3105,穩懋,13,15563,15520,43,5426,4471,955,2111,1830,1156,894,5,5,0.47,0.21
2026/1/23-13-6265,2026/1/23,13,6265,方土昶,14,14523,14354,169,3261,2616,645,1277,1167,632,195,6,4,0.49,0.19
2026/1/23-13-4931,2026/1/23,13,4931,新盛力,15,15736,16176,-440,3806,3691,115,1000,669,885,474,5,5,0.27,0.23
2026/1/23-13-6190,2026/1/23,13,6190,萬泰科,16,13926,13164,762,3217,3198,19,493,-563,474,92,5,5,0.15,0.15
2026/1/23-13-3323,2026/1/23,13,3323,加百裕,17,13860,13743,117,2716,2629,87,684,435,597,500,6,4,0.26,0.22
2026/1/23-13-5498,2026/1/23,13,5498,凱崴,18,13083,12635,448,4723,4096,627,2471,2285,1844,1327,5,5,0.60,0.39
2026/1/23-13-3264,2026/1/23,13,3264,欣銓,19,12083,12702,-619,3747,3659,88,1987,1688,1899,1434,4,6,0.54,0.51
2026/1/23-13-4510,2026/1/23,13,4510,高鋒,20,11775,11686,89,1538,1278,260,467,326,207,114,5,5,0.37,0.13
2026/1/23-13-3211,2026/1/23,13,3211,順達,21,10907,10101,806,1424,1253,171,440,59,269,-57,5,5,0.35,0.19
2026/1/23-13-1785,2026/1/23,13,1785,光洋科,22,8466,9240,-774,2537,1833,704,1318,1239,614,240,7,3,0.72,0.24
2026/1/23-13-3162,2026/1/23,13,3162,精確,23,10837,10511,326,931,718,213,763,631,550,467,5,5,1.06,0.59
2026/1/23-13-6274,2026/1/23,13,6274,台燿,24,9780,9354,426,3745,2770,975,2259,2046,1284,1017,4,6,0.82,0.34
2026/1/23-13-3624,2026/1/23,13,3624,光頡,25,10023,11345,-1322,2071,2236,-165,859,668,1024,778,5,5,0.38,0.49
2026/1/23-13-3707,2026/1/23,13,3707,漢磊,26,9406,9684,-278,3070,2779,291,1125,974,834,722,5,5,0.40,0.27
2026/1/23-13-6217,2026/1/23,13,6217,中探針,27,9929,9801,128,2351,2242,109,384,130,275,85,5,5,0.17,0.12
